container,first_date,first_location,first_status,last_date,last_location,last_status
HLXU3126519,2019-04-19 11:30:00,CALLAO,Loading,2019-06-08 06:00:00,BUSAN,Discharge
HLBU2349866,2019-04-09 22:00:00,ANTOFAGASTA,Loading,2019-05-22 00:00:00,HUANGPU,Discharge
CPSU1757120,2017-09-18 05:07:00,PANJANG,Loading,2017-10-17 08:30:00,CARCARE,Arrival in
HLBU2337171,2019-04-09 22:00:00,ANTOFAGASTA,Loading,2019-05-22 00:00:00,HUANGPU,Discharge
HLBU2338305,2019-04-09 22:00:00,ANTOFAGASTA,Loading,2019-05-22 00:00:00,HUANGPU,Discharge
UACU4755002,2019-03-26 00:00:00,"ROSARIO, CL",Departure from,2019-04-23 16:00:00,ROTTERDAM,Discharge
UACU4764299,2019-03-26 00:00:00,"ROSARIO, CL",Departure from,2019-04-23 16:00:00,ROTTERDAM,Discharge
HLBU9074483,2019-03-26 00:00:00,"ROSARIO, CL",Departure from,2019-04-23 16:00:00,ROTTERDAM,Discharge
HLBU9272956,2019-03-26 00:00:00,"ROSARIO, CL",Departure from,2019-04-23 16:00:00,ROTTERDAM,Discharge
HLXU8737871,2019-03-22 21:00:00,"ROSARIO, CL",Arrival in,2019-04-23 07:00:00,ROTTERDAM,Discharge
UACU4752868,2019-03-22 21:00:00,"ROSARIO, CL",Arrival in,2019-04-23 07:00:00,ROTTERDAM,Discharge
UACU4751434,2019-03-22 21:00:00,"ROSARIO, CL",Arrival in,2019-04-23 07:00:00,ROTTERDAM,Discharge
HLXU8770680,2019-03-22 21:00:00,"ROSARIO, CL",Arrival in,2019-04-23 07:00:00,ROTTERDAM,Discharge
CPSU5124136,2019-03-22 21:00:00,"ROSARIO, CL",Arrival in,2019-04-23 07:00:00,ROTTERDAM,Discharge
UACU6062590,2019-04-16 01:31:00,SAN ANTONIO,Vessel departure,2019-05-17 00:00:00,WORLD WIDE DUMMY LOCATION EQUIPMENT,Arrival in
TGBU5799683,2019-04-21 18:30:00,SAN ANTONIO,Loading,2019-05-09 07:00:00,"NEW YORK, NY",Discharge
HLBU1296416,2018-06-16 00:00:00,"CHICAGO, IL",Departure from,2018-07-15 14:46:00,SAINT PETERSBURG,Discharge
HLXU8567939,2018-07-06 00:00:00,"WESTFIELD, NY",Arrival in,2018-08-07 13:37:00,SZCZECIN,Discharge
UACU5441897,2018-06-16 00:00:00,"DALLAS, TX",Departure from,2018-07-29 05:00:00,ISKENDERUN,Discharge
UASU1048902,2019-04-22 06:00:00,SAN ANTONIO,Loading,2019-04-29 10:00:00,GUAYAQUIL,Discharge
HLBU9124476,2018-07-25 00:00:00,MANTA,Arrival in,2018-08-20 06:48:00,VIGO,Discharge
TEMU9055870,2019-04-23 04:00:00,"MANZANILLO, COL (MX)",Loading,2019-05-01 17:00:00,"SEATTLE, WA",Discharge
HLBU9258496,2019-04-23 23:00:00,CALLAO,Loading,2019-05-14 07:00:00,ROTTERDAM,Discharge
HLBU9257859,2019-04-16 20:06:00,CALLAO,Loading,2019-05-07 07:00:00,ROTTERDAM,Discharge
